{} -0.039782092605 
39.4 -0.018308751366 -0.003115214112
39.6 -0.018312547326 -0.003114367456
39.8 -0.018315257377 -0.003113579229
40.0 -0.018316848075 -0.003112846342
40.2 -0.018317287724 -0.003112165822
40.4 -0.018416617411 -0.003111605354
40.6 -0.018415619301 -0.003111018975
40.8 -0.018413359930 -0.003110476730
41.0 -0.018409814375 -0.003109976044
41.2 -0.018404958974 -0.003109514451
41.4 -0.018398771224 -0.003109089580
41.6 -0.018391229691 -0.003108699154
41.8 -0.018382313916 -0.003108340990
42.0 -0.018372004331 -0.003108012991
42.2 -0.018360282165 -0.003107713149
42.4 -0.018347129380 -0.003107439542
42.6 -0.018332528588 -0.003107190329
42.8 -0.018316462985 -0.003106963752
43.0 -0.018298916288 -0.003106758130
43.2 -0.018279872675 -0.003106571858
43.4 -0.018259316739 -0.003106403409
43.6 -0.018237233438 -0.003106251323
43.8 -0.018213608060 -0.003106114214
44.0 -0.018188426183 -0.003105990763
44.2 -0.018161673655 -0.003105879716
44.4 -0.018133336571 -0.003105779883
44.6 -0.018103401253 -0.003105690136
44.8 -0.018071854248 -0.003105609408
45.0 -0.018038682319 -0.003105536687
45.2 -0.018003872446 -0.003105471019
45.4 -0.017967411838 -0.003105411503
45.6 -0.017929287937 -0.003105357289
45.8 -0.017889488442 -0.003105307579
46.0 -0.017848001320 -0.003105261622
46.2 -0.017804814836 -0.003105218713
46.4 -0.017759917580 -0.003105178191
46.6 -0.017713298492 -0.003105139440
46.8 -0.017664946899 -0.003105101884
47.0 -0.017614852549 -0.003105064986
47.2 -0.017563005644 -0.003105028247
47.4 -0.017509396883 -0.003104991206
47.6 -0.017454017494 -0.003104953434
47.8 -0.017396859275 -0.003104914537
48.0 -0.017337914635 -0.003104874151
48.2 -0.017277176626 -0.003104831944
48.4 -0.017214638986 -0.003104787615
48.6 -0.017150296170 -0.003104740886
48.8 -0.017084143387 -0.003104691508
49.0 -0.017016176631 -0.003104639256
49.2 -0.016946392711 -0.003104583932
49.4 -0.016874789278 -0.003104525355
49.6 -0.016801364852 -0.003104463370
49.8 -0.016726118842 -0.003104397840
50.0 -0.016649051566 -0.003104328649
50.2 -0.016570164268 -0.003104255697
50.4 -0.016489459127 -0.003104178903
50.6 -0.016406939273 -0.003104098204
50.8 -0.016322608787 -0.003104013547
51.0 -0.016236472709 -0.003103924898
51.2 -0.016148537033 -0.003103832234
51.4 -0.016058808710 -0.003103735546
51.6 -0.015967295636 -0.003103634837
51.8 -0.015874006647 -0.003103530119
52.0 -0.015778951505 -0.003103421417
52.2 -0.015682140884 -0.003103308765
52.4 -0.015583586352 -0.003103192204
52.6 -0.015483300354 -0.003103071787
52.8 -0.015381296189 -0.003102947570
53.0 -0.015277587986 -0.003102819621
53.2 -0.015172190684 -0.003102688010
53.4 -0.015065119997 -0.003102552816
53.6 -0.014956392393 -0.003102414122
53.8 -0.014846025066 -0.003102272016
54.0 -0.014734035900 -0.003102126591
54.2 -0.014620443444 -0.003101977944
54.4 -0.014505266880 -0.003101826173
54.6 -0.014388525991 -0.003101671384
54.8 -0.014270241132 -0.003101513682
